Exercise,Equipment,Exercise Type,Major Muscle,Minor Muscle,Example,Notes,Modifications
Skull Crusher,"Dumbbells,Bar",Weight,Arms,Tricep,14.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/cYkGIeuaXM4A0VTrpLzcGw/CzZcbdJy3YSz2sUm4PH4sCBWKHq9QwL5BCD2cupFVxArJYiqhBcOTyPWLjzutt-2lEPIfAdj1ma2-XblzFqyUw/Y1rF4yIMqTbuW8KMLtqQYgqb-s0p1_iWHmMTKqPFoVk),,
Spiderman Pushup,Body Weight,Weight,"Arms,Core","Chest,Oblique",0dd5e852-dd90-4f1e-a570-c20dca7c72cf.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/qb6lSuvZcXG9XSFK-GTckg/8t0KbHoTRfSruwR1oeTOEsZPpOyyt3YfSZCIHnNOofoKbCZEq7FOXzX8loG3WdcMpTQJNW42iK8Dq7aiSq19dfVeyy1Y3glTcxxu8S6Ko8Ce4PirjY3DdvkqLsJFL7o0C7Waq0mpWynemYmigXxhdw/NaLWsuGDejqbExTAN11by-kVVfvkSl1cXi9mhhd-TAE),,"Easier: do a pushup from your knees, and then the spiderman movement"
Squat,"Bar,Dumbbells,Body Weight,Squat Rack,Band",Weight,Legs,"Quads,Glutes",barbell-squat.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/C9bFjb1DKn96vvCsaGcJhQ/Jdax_T9wzZYMCmm6AgHNN6XIIPFrrQM1C96Ik1TwHOITCzyOGc-G5ZxRWwD9JgmhrTN9XM6G1uTWIIpWjYcG1SVi2z_PdlLYegVPL98aCNw/ZnGfRQM3xM_xI7eTRiMGHHw3ewOGDukqZI1Y0I4Cml0),Bar + 45LB,Easier: air squat
Squat Jump,Body Weight,"Plyo,Cardio",Legs,Quads,5a1e902f-42e7-4b38-b3c5-af3cb2cbbf0c.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/-kUl7AZ5cgMjlHvZ7O2SEA/bIBuFPZZ2bw6igM0s7qbg3VBIFism6VDVAAn_-0BaM9zoc8mialSwZEfrnnSw4988XzKdNjoOfyLl3Angi--bTxYV7ppxcCmPAkbjAsiAN-jOt7sH_Wtx6FmRvQ4Dn81mwGKiRil3TwJnYflydTnnA/H4LooR09VxKAqy-07MkEepmQ5YBtS-A_LsvVmpeWTcA),You can do these for height (plyo) or speed (cardio) and to switch them up sometimes do them with your arms clasped at the front so it's a leg-only exercise,"Easier: Just do an air squat, or alternate squat and squat jump"
Squat Jumps 180,Body Weight,Plyo,Full Body,,0145ce919124c8a3_SquatJump180Small.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/38sL0IfNOqKVip_OAMGfrw/LMzPrykXbsLo7zKmeF595pzaT-qS3EoQ5iEHsFwavUyIVH0V8XdvgPdrIqYbYeeQq2nZX9Q84NCWr0YlbnDWZPqnrj9sOMHItyyU1AR73fLozRMINuzkUg-8PTUNsJAn/cd3f2UgXByYR7Fx7RuxwjchiAT6x3WUcTyx-v1IEkQg),Turn body 180 while doing squat jump,
Squat to Lateral Leg Lift,Band,Weight,Legs,"Quads,Outer Thigh",_SquatLateralLegLiftSelf2_1_3.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/Ggu3OIpjhZ-oooJHc6s85Q/io0b2zqTZtX-PNjMdva0gOTiZdgvF_cQHgH9ilo0_bZYPpSnWLD_o4LuBwRFS0fIJa1sRohEWbsJK4Vczr577GgRUPKeCbr7ZNnFoHBOsnOiSuGFw4KX0wvABqkVcEmW/OUfTA2DUTC2nIA8AvUk3wrh1bYG7qDV5_e_PKJpWzuU),,
Standing Glute Kickbaks,Band,Weight,Legs,Glutes,_StandingGluteKickBackSelf2_1_4.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/VZPh6rwUKIcopb-sYohzFQ/N2nFD-JXbcLn7LdJGL9YtOcDrWL1pNhfHunoBwjqR9jYnD-zvrERRwRgCl86X03ZWjOf6nSsHG8_Hl7jj1RG66Vlg6uTuYEGB_80yWkoabKiJzsz-91Zg-cR_0tDWeIj/F2NDoWTtb3llpI7B0Zk3kWHt4yrHXuR1Cuuv8sOdXjQ),,Easier: do this without the band. Use an
Standing Leg Lift,"Cable,Band",Weight,Legs,"Inner Thigh,Outer Thigh,Glutes","standing abduction.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/DNu4qKT-oJgxUmlyJkWYcw/xElbtWMxYamDpgnWSLfIPv2hJFGSXoXZcLsK_GJcR4HBC1z4wxKEL2izOJ62vES-MYWNWP5uuzVz5AYqnoZksHYJofekCSAxAl7J79RCNVE/VFK0vOkbhqq90ijvrat5OGK0k4f0tFNUBzk28fvKJrc),Athletic-woman-doing-side-kick-resistance-band-exercise-1024x954.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/8QzLPLfvuKo3ZDOJkawohA/cGJ2b0SZezDNFaq2eaJr61n3wUqKxHBEVXtzbW6ObnuXux451V0cetJD7WrHHt9VVcv_QBmaiROGLl7NO8Gov0AlLZ_BTAK6B8fpDKCWH4PGkhsf8SY4uE-pOl4xepxk45dpxs5uJm-XZB049vzhn4eVAtaOHukYJ7Nh-_Et9gk/GgI7FvG0VXjgAabkyUAuP-PcJIU0p2AM-GmKtkVjKTA)",,
Standing Oblique Crunch,Dumbbells,Weight,Core,Oblique,Standing-Oblique-Crunches.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/GWMmEvQQH6YFvAQ6HQMymA/ULP1918iuNt4BmwOkCxS-VYnLgBhnDdCZ5mX_zRFc6nJCl4U5vKJZ4jWMzGoXhRIrV0Ts2HL4fOXbIUlwvLEzxQWtYgPR1miM8sfC7pONrrmeGXNdlYDJMj2tMviX4wD/qQYZlAjqI9_ErN4XsJB_QyWONsF_nYtGRVBrpx-uoss),20LB Weight Minimum,
Star Jump,Body Weight,Plyo,Full Body,,workoutanniversarygif06570.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/ZmSYvjNNyxAnosV1ONZeKw/U7Qohy6BgEpv4R20FR6NZyc5g4RfdxEKm2rOnSuju919T2Hv8d0ahzFZQv5be6ExEs9Oa1J7FBmOdhh1IVFzmSOenYWuiXa0MW0eR4d5wRwC6zisiIHS0ChLkfuqSNFh/O8PN47RrR2fjPaRr-GDmQ8GucJiAfg-gqPMiRjvKANk),,
